evento;ano;artigo;ocorrencias;termo;tipo
WSCAD;2000;1;3;mips;MET
WSCAD;2000;1;2;eficiência ou acurácia;MET
WSCAD;2000;2;3;eficiência ou acurácia;MET
WSCAD;2000;3;2;eficiência ou acurácia;MET
WSCAD;2000;5;1;eficiência ou acurácia;MET
WSCAD;2000;8;1;eficiência ou acurácia;MET
WSCAD;2000;9;1;eficiência ou acurácia;MET
WSCAD;2000;2;2;speedup;MET
WSCAD;2000;1;1;bandwidth;MET
WSCAD;2000;9;2;número de iterações;EST
WSCAD;2000;8;1;speedup;MET
WSCAD;2000;8;2;média;EST
WSCAD;2000;9;1;média;EST
WSCAD;2000;1;9;teste ou experimento;EST
WSCAD;2000;2;2;teste ou experimento;EST
WSCAD;2000;3;2;teste ou experimento;EST
WSCAD;2000;9;6;teste ou experimento;EST
WSCAD;2000;6;1;confiabilidade;MET
WSCAD;2000;9;1;idle;MET
WSCAD;2000;6;1;availability or disponibilidade;MET
WSCAD;2000;8;2;availability or disponibilidade;MET
WSCAD;2000;5;1;availability or disponibilidade;MET
WSCAD;2000;2;1;availability or disponibilidade;MET
WSCAD;2000;9;6;availability or disponibilidade;MET
WSCAD;2001;3;1;availability or disponibilidade;MET
WSCAD;2001;7;10;média;EST
WSCAD;2001;4;2;média;EST
WSCAD;2001;18;2;média;EST
WSCAD;2001;15;1;média;EST
WSCAD;2001;14;1;média;EST
WSCAD;2001;13;20;média;EST
WSCAD;2001;12;8;média;EST
WSCAD;2001;10;9;média;EST
WSCAD;2001;12;1;speedup;MET
WSCAD;2001;24;1;availability or disponibilidade;MET
WSCAD;2001;10;1;mips;MET
WSCAD;2001;2;1;availability or disponibilidade;MET
WSCAD;2001;18;5;número de iterações;EST
WSCAD;2001;19;2;availability or disponibilidade;MET
WSCAD;2001;5;1;speedup;MET
WSCAD;2001;16;2;availability or disponibilidade;MET
WSCAD;2001;15;3;availability or disponibilidade;MET
WSCAD;2001;11;5;média;EST
WSCAD;2001;14;21;teste ou experimento;EST
WSCAD;2001;7;1;teste ou experimento;EST
WSCAD;2001;6;9;teste ou experimento;EST
WSCAD;2001;5;4;teste ou experimento;EST
WSCAD;2001;3;2;teste ou experimento;EST
WSCAD;2001;24;2;teste ou experimento;EST
WSCAD;2001;22;5;teste ou experimento;EST
WSCAD;2001;21;32;teste ou experimento;EST
WSCAD;2001;20;1;teste ou experimento;EST
WSCAD;2001;9;7;média;EST
WSCAD;2001;15;1;teste ou experimento;EST
WSCAD;2001;10;1;p-valor;TST
WSCAD;2001;12;4;teste ou experimento;EST
WSCAD;2001;11;2;teste ou experimento;EST
WSCAD;2001;10;1;teste ou experimento;EST
WSCAD;2001;9;3;teste ou experimento;EST
WSCAD;2001;17;1;confiabilidade;MET
WSCAD;2001;18;1;número de execuções;EST
WSCAD;2001;5;1;confiabilidade;MET
WSCAD;2001;8;1;teste ou experimento;EST
WSCAD;2001;18;23;teste ou experimento;EST
WSCAD;2001;14;1;speedup;MET
WSCAD;2001;3;4;eficiência ou acurácia;MET
WSCAD;2001;24;1;eficiência ou acurácia;MET
WSCAD;2001;20;1;eficiência ou acurácia;MET
WSCAD;2001;18;2;amostra;EST
WSCAD;2001;17;4;amostra;EST
WSCAD;2001;16;1;amostra;EST
WSCAD;2001;8;6;eficiência ou acurácia;MET
WSCAD;2001;18;1;eficiência ou acurácia;MET
WSCAD;2001;15;2;eficiência ou acurácia;MET
WSCAD;2001;13;1;eficiência ou acurácia;MET
WSCAD;2001;10;2;availability or disponibilidade;MET
WSCAD;2001;5;2;bandwidth;MET
WSCAD;2001;14;4;bandwidth;MET
WSCAD;2001;12;1;bandwidth;MET
WSCAD;2001;15;1;variância;EST
WSCAD;2001;3;4;speedup;MET
WSCAD;2001;15;2;amostra;EST
WSCAD;2001;12;2;eficiência ou acurácia;MET
WSCAD;2001;15;1;speedup;MET
WSCAD;2001;9;2;eficiência ou acurácia;MET
WSCAD;2001;14;1;desvio padrão;EST
WSCAD;2001;18;10;speedup;MET
WSCAD;2001;17;2;speedup;MET
SBAC;2002;6;2;speedup;MET
SBAC;2002;13;4;speedup;MET
SBAC;2002;14;1;speedup;MET
SBAC;2002;16;1;speedup;MET
SBAC;2002;2;2;speedup;MET
SBAC;2002;20;4;speedup;MET
SBAC;2002;22;5;speedup;MET
SBAC;2002;24;15;speedup;MET
SBAC;2002;3;3;speedup;MET
WSCAD;2002;17;4;teste ou experimento;EST
SBAC;2002;5;4;speedup;MET
WSCAD;2002;18;8;speedup;MET
WSCAD;2002;10;5;teste ou experimento;EST
WSCAD;2002;4;10;speedup;MET
SBAC;2002;7;3;speedup;MET
WSCAD;2002;5;1;mips;MET
WSCAD;2002;11;3;teste ou experimento;EST
WSCAD;2002;12;2;teste ou experimento;EST
WSCAD;2002;13;1;teste ou experimento;EST
WSCAD;2002;14;3;teste ou experimento;EST
WSCAD;2002;16;16;teste ou experimento;EST
SBAC;2002;4;1;speedup;MET
SBAC;2002;25;1;availability or disponibilidade;MET
SBAC;2002;10;1;confiabilidade;MET
WSCAD;2002;25;1;confiabilidade;MET
SBAC;2002;22;3;mips;MET
SBAC;2002;21;1;mips;MET
SBAC;2002;20;1;mips;MET
SBAC;2002;11;6;speedup;MET
WSCAD;2002;15;4;número de iterações;EST
SBAC;2002;1;3;speedup;MET
SBAC;2002;1;1;availability or disponibilidade;MET
SBAC;2002;16;7;availability or disponibilidade;MET
SBAC;2002;6;1;availability or disponibilidade;MET
SBAC;2002;14;2;availability or disponibilidade;MET
SBAC;2002;19;1;availability or disponibilidade;MET
WSCAD;2002;7;1;número de execuções;EST
SBAC;2002;2;10;mips;MET
WSCAD;2002;20;2;confiabilidade;MET
WSCAD;2002;11;1;speedup;MET
WSCAD;2002;13;5;speedup;MET
WSCAD;2002;14;1;speedup;MET
WSCAD;2002;20;1;número de iterações;EST
SBAC;2002;12;1;speedup;MET
SBAC;2002;7;1;availability or disponibilidade;MET
WSCAD;2002;4;13;eficiência ou acurácia;MET
WSCAD;2002;12;2;eficiência ou acurácia;MET
WSCAD;2002;13;2;eficiência ou acurácia;MET
WSCAD;2002;15;4;eficiência ou acurácia;MET
WSCAD;2002;16;3;eficiência ou acurácia;MET
WSCAD;2002;17;1;eficiência ou acurácia;MET
WSCAD;2002;19;1;eficiência ou acurácia;MET
WSCAD;2002;22;1;eficiência ou acurácia;MET
SBAC;2002;14;18;média;EST
WSCAD;2002;3;1;eficiência ou acurácia;MET
SBAC;2002;1;1;eficiência ou acurácia;MET
WSCAD;2002;6;1;eficiência ou acurácia;MET
WSCAD;2002;9;4;eficiência ou acurácia;MET
SBAC;2002;16;4;idle;MET
SBAC;2002;17;3;idle;MET
SBAC;2002;18;5;idle;MET
SBAC;2002;19;1;idle;MET
SBAC;2002;20;1;idle;MET
WSCAD;2002;25;1;eficiência ou acurácia;MET
SBAC;2002;25;2;eficiência ou acurácia;MET
WSCAD;2002;6;1;availability or disponibilidade;MET
WSCAD;2002;4;3;availability or disponibilidade;MET
WSCAD;2002;20;1;availability or disponibilidade;MET
WSCAD;2002;2;14;availability or disponibilidade;MET
WSCAD;2002;11;1;availability or disponibilidade;MET
SBAC;2002;8;3;eficiência ou acurácia;MET
SBAC;2002;7;4;eficiência ou acurácia;MET
WSCAD;2002;19;2;bandwidth;MET
SBAC;2002;3;1;eficiência ou acurácia;MET
SBAC;2002;4;1;distribuição normal;EST
SBAC;2002;24;6;eficiência ou acurácia;MET
SBAC;2002;22;1;eficiência ou acurácia;MET
SBAC;2002;20;1;eficiência ou acurácia;MET
SBAC;2002;18;3;eficiência ou acurácia;MET
SBAC;2002;14;3;eficiência ou acurácia;MET
SBAC;2002;12;1;eficiência ou acurácia;MET
SBAC;2002;11;2;eficiência ou acurácia;MET
SBAC;2002;8;1;idle;MET
SBAC;2002;4;1;eficiência ou acurácia;MET
WSCAD;2002;3;3;teste ou experimento;EST
SBAC;2002;23;6;idle;MET
WSCAD;2002;7;3;mips;MET
SBAC;2002;25;1;desvio padrão;EST
SBAC;2002;24;1;desvio padrão;EST
WSCAD;2002;9;3;teste ou experimento;EST
WSCAD;2002;7;8;teste ou experimento;EST
WSCAD;2002;6;21;teste ou experimento;EST
SBAC;2002;25;6;média;EST
WSCAD;2002;4;4;teste ou experimento;EST
SBAC;2002;24;16;média;EST
WSCAD;2002;25;1;teste ou experimento;EST
WSCAD;2002;23;10;teste ou experimento;EST
WSCAD;2002;16;1;confiabilidade;MET
WSCAD;2002;2;2;confiabilidade;MET
WSCAD;2002;22;18;teste ou experimento;EST
WSCAD;2002;20;2;teste ou experimento;EST
WSCAD;2002;2;6;teste ou experimento;EST
WSCAD;2002;19;2;teste ou experimento;EST
WSCAD;2002;5;12;teste ou experimento;EST
SBAC;2002;15;13;bandwidth;MET
WSCAD;2002;18;1;teste ou experimento;EST
SBAC;2002;9;6;idle;MET
SBAC;2002;6;16;bandwidth;MET
SBAC;2002;23;1;bandwidth;MET
SBAC;2002;22;12;bandwidth;MET
SBAC;2002;20;1;bandwidth;MET
SBAC;2002;19;2;bandwidth;MET
WSCAD;2002;6;1;mips;MET
SBAC;2002;17;1;bandwidth;MET
SBAC;2002;25;1;idle;MET
SBAC;2002;13;1;bandwidth;MET
SBAC;2002;12;1;bandwidth;MET
SBAC;2002;1;1;bandwidth;MET
SBAC;2002;7;1;confiabilidade;MET
SBAC;2002;13;18;média;EST
WSCAD;2002;9;3;speedup;MET
SBAC;2002;16;6;média;EST
SBAC;2002;23;29;média;EST
SBAC;2002;18;1;bandwidth;MET
SBAC;2002;12;1;benchmark;EXT
WSCAD;2002;20;3;média;EST
WSCAD;2002;19;1;média;EST
WSCAD;2002;15;1;média;EST
SBAC;2002;3;1;workload;EXT
SBAC;2002;25;8;workload;EXT
SBAC;2002;23;1;workload;EXT
SBAC;2002;16;8;workload;EXT
SBAC;2002;15;4;workload;EXT
SBAC;2002;6;22;benchmark;EXT
SBAC;2002;13;1;workload;EXT
WSCAD;2002;3;2;média;EST
SBAC;2002;13;4;benchmark;EXT
SBAC;2002;14;4;benchmark;EXT
SBAC;2002;17;6;benchmark;EXT
SBAC;2002;19;3;benchmark;EXT
SBAC;2002;22;1;benchmark;EXT
WSCAD;2002;16;1;desvio padrão;EST
WSCAD;2002;11;1;desvio padrão;EST
SBAC;2002;24;1;benchmark;EXT
SBAC;2002;25;15;benchmark;EXT
SBAC;2002;14;10;workload;EXT
SBAC;2002;19;7;teste ou experimento;EST
SBAC;2002;9;1;teste ou experimento;EST
SBAC;2002;6;5;teste ou experimento;EST
SBAC;2002;5;2;teste ou experimento;EST
SBAC;2002;4;3;teste ou experimento;EST
SBAC;2002;25;21;teste ou experimento;EST
SBAC;2002;24;23;teste ou experimento;EST
SBAC;2002;23;8;teste ou experimento;EST
SBAC;2002;22;1;teste ou experimento;EST
SBAC;2002;21;61;teste ou experimento;EST
WSCAD;2002;25;3;média;EST
SBAC;2002;2;1;teste ou experimento;EST
WSCAD;2002;26;1;média;EST
SBAC;2002;15;1;teste ou experimento;EST
SBAC;2002;14;31;teste ou experimento;EST
SBAC;2002;12;9;teste ou experimento;EST
SBAC;2002;10;6;teste ou experimento;EST
SBAC;2002;1;15;teste ou experimento;EST
SBAC;2002;17;1;número de iterações;EST
SBAC;2002;22;1;número de iterações;EST
WSCAD;2002;4;4;média;EST
WSCAD;2002;11;1;média;EST
SBAC;2002;20;4;teste ou experimento;EST
WSCAD;2002;17;14;média;EST
WSCAD;2002;13;2;amostra;EST
SBAC;2002;3;2;número de iterações;EST
SBAC;2002;4;4;número de iterações;EST
SBAC;2002;5;1;número de iterações;EST
SBAC;2002;6;3;número de iterações;EST
SBAC;2002;7;1;confiabilidade;MET
SBAC;2002;10;1;confiabilidade;MET
WSCAD;2003;17;2;availability or disponibilidade;MET
WSCAD;2003;10;11;teste ou experimento;EST
WSCAD;2003;5;2;média;EST
WSCAD;2003;6;2;média;EST
WSCAD;2003;7;7;média;EST
WSCAD;2003;8;1;média;EST
SBAC;2003;17;6;mflops;MET
SBAC;2003;18;1;workload;EXT
WSCAD;2003;11;1;teste ou experimento;EST
WSCAD;2003;16;1;availability or disponibilidade;MET
SBAC;2003;15;3;desvio padrão;EST
WSCAD;2003;18;1;availability or disponibilidade;MET
WSCAD;2003;21;2;availability or disponibilidade;MET
WSCAD;2003;23;1;availability or disponibilidade;MET
WSCAD;2003;25;4;availability or disponibilidade;MET
WSCAD;2003;15;1;availability or disponibilidade;MET
WSCAD;2003;18;2;teste ou experimento;EST
WSCAD;2003;29;1;teste ou experimento;EST
WSCAD;2003;27;41;teste ou experimento;EST
WSCAD;2003;26;2;teste ou experimento;EST
WSCAD;2003;24;4;teste ou experimento;EST
WSCAD;2003;23;1;teste ou experimento;EST
WSCAD;2003;22;13;teste ou experimento;EST
WSCAD;2003;29;1;média;EST
WSCAD;2003;25;5;número de iterações;EST
WSCAD;2003;3;1;média;EST
WSCAD;2003;15;1;teste ou experimento;EST
WSCAD;2003;14;1;teste ou experimento;EST
WSCAD;2003;13;1;teste ou experimento;EST
SBAC;2003;27;1;desvio padrão;EST
SBAC;2003;26;3;eficiência ou acurácia;MET
SBAC;2003;14;4;desvio padrão;EST
WSCAD;2003;28;1;availability or disponibilidade;MET
WSCAD;2003;21;4;teste ou experimento;EST
SBAC;2003;30;3;teste ou experimento;EST
SBAC;2003;22;9;teste ou experimento;EST
SBAC;2003;23;2;teste ou experimento;EST
SBAC;2003;24;4;teste ou experimento;EST
SBAC;2003;25;4;teste ou experimento;EST
SBAC;2003;26;5;teste ou experimento;EST
SBAC;2003;27;8;teste ou experimento;EST
WSCAD;2003;5;7;availability or disponibilidade;MET
SBAC;2003;29;4;teste ou experimento;EST
SBAC;2003;2;10;teste ou experimento;EST
SBAC;2003;4;3;teste ou experimento;EST
SBAC;2003;1;1;mips;MET
SBAC;2003;5;11;teste ou experimento;EST
WSCAD;2003;2;1;confiabilidade;MET
WSCAD;2003;21;1;confiabilidade;MET
WSCAD;2003;26;1;confiabilidade;MET
WSCAD;2003;4;1;confiabilidade;MET
SBAC;2003;28;3;teste ou experimento;EST
SBAC;2003;12;1;teste ou experimento;EST
WSCAD;2003;3;3;teste ou experimento;EST
WSCAD;2003;8;1;availability or disponibilidade;MET
WSCAD;2003;5;1;teste ou experimento;EST
